sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Hylaeamys megacephalus	RO:0002470	eats		Attalea oleifera							"Pimentel, D. S.; Tabarelli, M.. 2004. Seed dispersal of the palm Attalea oleifera in a remnant of the Brazilian Atlantic Forest. Biotropica. 74-84"
	Hylaeamys oniscus	RO:0002470	eats		Attalea oleifera							"Pinto, S. R. R.; Santos, A. M. M.; Tabarelli, M.. 2009. Seed predation by rodents and safe sites for large-seeded trees in a fragment of the Brazilian Atlantic forest. Brazilian Journal of Biology. 763-771"
	Sciurus aestuans	RO:0002470	eats		Attalea oleifera							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Sciurus aestuans	RO:0002470	eats		Attalea oleifera							"Pimentel, D. S.; Tabarelli, M.. 2004. Seed dispersal of the palm Attalea oleifera in a remnant of the Brazilian Atlantic Forest. Biotropica. 74-84"
	Didelphis albiventris	RO:0002470	eats		Attalea oleifera							"Pimentel, D. S.; Tabarelli, M.. 2004. Seed dispersal of the palm Attalea oleifera in a remnant of the Brazilian Atlantic Forest. Biotropica. 74-84"
	Dasyprocta prymnolopha	RO:0002470	eats		Attalea oleifera							"Pimentel, D. S.; Tabarelli, M.. 2004. Seed dispersal of the palm Attalea oleifera in a remnant of the Brazilian Atlantic Forest. Biotropica. 74-84"
	Nasua nasua	RO:0002470	eats		Attalea oleifera							"Pimentel, D. S.; Tabarelli, M.. 2004. Seed dispersal of the palm Attalea oleifera in a remnant of the Brazilian Atlantic Forest. Biotropica. 74-84"
	Coendou prehensilis	RO:0002470	eats		Attalea oleifera							"Pimentel, D. S.; Tabarelli, M.. 2004. Seed dispersal of the palm Attalea oleifera in a remnant of the Brazilian Atlantic Forest. Biotropica. 74-84"
	Cuniculus paca	RO:0002470	eats		Attalea oleifera							"Pimentel, D. S.; Tabarelli, M.. 2004. Seed dispersal of the palm Attalea oleifera in a remnant of the Brazilian Atlantic Forest. Biotropica. 74-84"
	Brotogeris chiriri	RO:0002470	eats		Attalea phalerata							"Ragusa-Netto, J.; Fecchio, A.. 2006. Plant food resources and the diet of a parrot community in a gallery forest of the southern Pantanal (Brazil).. Brazilian journal of biology = Revista brasleira de biologia. 1021-32"
	Myiopsitta monachus	RO:0002470	eats		Attalea phalerata							"Ragusa-Netto, J.; Fecchio, A.. 2006. Plant food resources and the diet of a parrot community in a gallery forest of the southern Pantanal (Brazil).. Brazilian journal of biology = Revista brasleira de biologia. 1021-32"
	Nandayus nenday	RO:0002470	eats		Attalea phalerata							"Ragusa-Netto, J.; Fecchio, A.. 2006. Plant food resources and the diet of a parrot community in a gallery forest of the southern Pantanal (Brazil).. Brazilian journal of biology = Revista brasleira de biologia. 1021-32"
