sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Proechimys semispinosus	RO:0002470	eats		Attalea butyracea							"Garzon-Lopez, Carol X.; Ballesteros-Mejia, Liliana; Ordonez, Alejandro; Bohlman, Stephanie A.; Olff, Han; Jansen, Patrick A.. 2015. Indirect interactions among tropical tree species through shared rodent seed predators: a novel mechanism of tree species coexistence. Ecology Letters. 752-760"
	Sciurus variegatoides	RO:0002470	eats		Attalea butyracea							"Galvez, Dumas. 2011. Digestibility of palm seeds and bruchids larvae by Neotropical rodents. Animal Biology. 21-27"
	Sciurus variegatoides	RO:0002470	eats		Attalea butyracea							"Timm, Robert M.; Lieberman, Diana; Lieberman, Milton; McClearn, Deedra. 2009. Mammals of Cabo Blanco: History, diversity, and conservation after 45 years of regrowth of a Costa Rican dry forest. Forest Ecology and Management. 997-1013"
	Bassaricyon gabbii	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Dasyprocta punctata	RO:0002470	eats		Attalea butyracea							"Galvez, Dumas; Jansen, Patrick A.. 2007. Bruchid beetle infestation and the value of Attalea butyracea endocarps for neotropical rodents. Journal of Tropical Ecology. 381-384"
	Dasyprocta punctata	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Dasyprocta punctata	RO:0002470	eats		Attalea butyracea							"Galvez, Dumas. 2011. Digestibility of palm seeds and bruchids larvae by Neotropical rodents. Animal Biology. 21-27"
	Dasyprocta punctata	RO:0002470	eats		Attalea butyracea							"Visser, Marco D.; Muller-Landau, Helene C.; Wright, S. Joseph; Rutten, Gemma; Jansen, Patrick A.. 2011. Tri-trophic interactions affect density dependence of seed fate in a tropical forest palm. Ecology Letters. 1093-1100"
	Dasyprocta punctata	RO:0002470	eats		Attalea butyracea							"Jansen, Patrick A.; Visser, Marco D.; Wright, S. Joseph; Rutten, Gemma; Muller-Landau, Helene C.. 2014. Negative density dependence of seed dispersal and seedling recruitment in a Neotropical palm. Ecology Letters. 1111-1120"
	Dasyprocta punctata	RO:0002470	eats		Attalea butyracea							"Garzon-Lopez, Carol X.; Ballesteros-Mejia, Liliana; Ordonez, Alejandro; Bohlman, Stephanie A.; Olff, Han; Jansen, Patrick A.. 2015. Indirect interactions among tropical tree species through shared rodent seed predators: a novel mechanism of tree species coexistence. Ecology Letters. 752-760"
	Cebus capucinus	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Cebus capucinus	RO:0002470	eats		Attalea butyracea							"Timm, Robert M.; Lieberman, Diana; Lieberman, Milton; McClearn, Deedra. 2009. Mammals of Cabo Blanco: History, diversity, and conservation after 45 years of regrowth of a Costa Rican dry forest. Forest Ecology and Management. 997-1013"
	Potos flavus	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Potos flavus	RO:0002470	eats		Attalea butyracea							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Potos flavus	RO:0002470	eats		Attalea butyracea							"Zona, S. & Henderson, A. (1989) A review of animal mediated seed dispersal of palms. Selbyana, 11, 6-21. Online Update 2006 ((http://www.virtualherbarium.org/palms/psdispersal.html). "
	Urocyon cinereoargenteus	RO:0002470	eats		Attalea butyracea							"Timm, Robert M.; Lieberman, Diana; Lieberman, Milton; McClearn, Deedra. 2009. Mammals of Cabo Blanco: History, diversity, and conservation after 45 years of regrowth of a Costa Rican dry forest. Forest Ecology and Management. 997-1013"
	Eira barbara	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Nasua narica	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Nasua narica	RO:0002470	eats		Attalea butyracea							"Timm, Robert M.; Lieberman, Diana; Lieberman, Milton; McClearn, Deedra. 2009. Mammals of Cabo Blanco: History, diversity, and conservation after 45 years of regrowth of a Costa Rican dry forest. Forest Ecology and Management. 997-1013"
	Ateles geoffroyi	RO:0002470	eats		Attalea butyracea							"Gonzalez-Zamora, Arturo; Arroyo-Rodriguez, Victor; Chaves, Oscar M.; Sanchez-Lopez, Sonia; Stoner, Kathryn E.; Riba-Hernandez, Pablo. 2009. Diet of Spider Monkeys (Ateles geoffroyi) in Mesoamerica: Current Knowledge and Future Directions. American Journal of Primatology. Aug-20"
	Ateles geoffroyi	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Procyon cancrivorus	RO:0002470	eats		Attalea butyracea							"Timm, Robert M.; Lieberman, Diana; Lieberman, Milton; McClearn, Deedra. 2009. Mammals of Cabo Blanco: History, diversity, and conservation after 45 years of regrowth of a Costa Rican dry forest. Forest Ecology and Management. 997-1013"
	Alouatta palliata	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Cuniculus paca	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Cuniculus paca	RO:0002470	eats		Attalea butyracea							"Timm, Robert M.; Lieberman, Diana; Lieberman, Milton; McClearn, Deedra. 2009. Mammals of Cabo Blanco: History, diversity, and conservation after 45 years of regrowth of a Costa Rican dry forest. Forest Ecology and Management. 997-1013"
	Canis latrans	RO:0002470	eats		Attalea butyracea							"Timm, Robert M.; Lieberman, Diana; Lieberman, Milton; McClearn, Deedra. 2009. Mammals of Cabo Blanco: History, diversity, and conservation after 45 years of regrowth of a Costa Rican dry forest. Forest Ecology and Management. 997-1013"
	Pecari tajacu	RO:0002470	eats		Attalea butyracea							"Wright, S. J.; Duber, H. C.. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica. 583-595"
	Pecari tajacu	RO:0002470	eats		Attalea butyracea							"Beck, Harald. 2006. A review of peccary-palm interactions and their ecological ramifications across the Neotropics. Journal of Mammalogy. 519-530"
	Pecari tajacu	RO:0002470	eats		Attalea butyracea							"Beck, Harald. 2006. A review of peccary-palm interactions and their ecological ramifications across the Neotropics. Journal of Mammalogy. 519-530"
